          atime          uvari          vvari          wvari          pvari          tvari
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9181524E-03  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6123125E-04  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0948067E-04  0.0000000E+00
  3.0000000E+01  9.7004526E-03  1.8279513E-04  1.6231737E-02  1.9177269E-03  0.0000000E+00
  3.0000000E+01  6.0001209E-03  1.3721709E-05  3.6375137E-03  3.5940624E-04  0.0000000E+00
  3.0000000E+01  7.7643508E-03  7.9732722E-06  3.2889572E-03  3.0874696E-04  0.0000000E+00
  3.0000000E+01  1.7694790E-02  1.0174282E-03  3.6235267E-02  1.9082409E-03  0.0000000E+00
  3.0000000E+01  1.5261579E-02  1.1138567E-04  9.0481677E-03  3.6187501E-04  0.0000000E+00
  3.0000000E+01  1.9814811E-02  8.2109567E-05  7.8550804E-03  3.0992133E-04  0.0000000E+00
  3.0000000E+01  2.1824946E-02  2.1374521E-03  5.0287937E-02  1.8982366E-03  0.0000000E+00
  3.0000000E+01  2.2387025E-02  3.1051650E-04  1.4101865E-02  3.6418341E-04  0.0000000E+00
  3.0000000E+01  2.7919487E-02  2.5843799E-04  1.1350110E-02  3.1206703E-04  0.0000000E+00
  3.0000000E+01  2.3198197E-02  3.2759389E-03  5.7869072E-02  1.8924016E-03  0.0000000E+00
  3.0000000E+01  2.5937276E-02  5.7599602E-04  1.8206244E-02  3.6576988E-04  0.0000000E+00
  3.0000000E+01  3.0866932E-02  5.1833579E-04  1.3414489E-02  3.1473876E-04  0.0000000E+00
  3.0000000E+01  2.3437929E-02  4.3137092E-03  6.1527695E-02  1.8901533E-03  0.0000000E+00
  3.0000000E+01  2.6525873E-02  8.6453137E-04  2.1350028E-02  3.6714410E-04  0.0000000E+00
  3.0000000E+01  3.0422243E-02  8.2597230E-04  1.4479069E-02  3.1765111E-04  0.0000000E+00
  3.0000000E+01  2.3489257E-02  5.2552467E-03  6.3688440E-02  1.8871620E-03  0.0000000E+00
  3.0000000E+01  2.5464451E-02  1.1484242E-03  2.3622388E-02  3.6851932E-04  0.0000000E+00
  3.0000000E+01  2.8814246E-02  1.1486848E-03  1.5079831E-02  3.2053921E-04  0.0000000E+00
  3.0000000E+01  2.3494604E-02  6.1648959E-03  6.5585672E-02  1.8783985E-03  0.0000000E+00
  3.0000000E+01  2.3907751E-02  1.4231482E-03  2.5069453E-02  3.6949216E-04  0.0000000E+00
  3.0000000E+01  2.7464097E-02  1.4647307E-03  1.5558332E-02  3.2315184E-04  0.0000000E+00
  3.0000000E+01  2.3254355E-02  7.0959390E-03  6.7515850E-02  1.8612965E-03  0.0000000E+00
  3.0000000E+01  2.2447098E-02  1.7032414E-03  2.5749109E-02  3.6936414E-04  0.0000000E+00
  3.0000000E+01  2.6665657E-02  1.7628603E-03  1.6020594E-02  3.2531680E-04  0.0000000E+00
  3.0000000E+01  2.2787667E-02  8.0451478E-03  6.9598144E-02  1.8376153E-03  0.0000000E+00
  3.0000000E+01  2.1101168E-02  2.0110205E-03  2.5845201E-02  3.6769897E-04  0.0000000E+00
  3.0000000E+01  2.5927955E-02  2.0381545E-03  1.6427128E-02  3.2701873E-04  0.0000000E+00
  3.0000000E+01  2.2508566E-02  8.9654077E-03  7.2233334E-02  1.8125935E-03  0.0000000E+00
  3.0000000E+01  1.9652880E-02  2.3626246E-03  2.5702288E-02  3.6470952E-04  0.0000000E+00
  3.0000000E+01  2.4690108E-02  2.2885713E-03  1.6686811E-02  3.2842938E-04  0.0000000E+00
  3.0000000E+01  2.2532416E-02  9.8690102E-03  7.5451022E-02  1.7899789E-03  0.0000000E+00
  3.0000000E+01  1.8281236E-02  2.7558938E-03  2.5642076E-02  3.6106881E-04  0.0000000E+00
  3.0000000E+01  2.3119015E-02  2.5166469E-03  1.6627319E-02  3.2983035E-04  0.0000000E+00
  3.0000000E+01  2.2116766E-02  1.0836758E-02  7.8470267E-02  1.7778238E-03  0.0000000E+00
  3.0000000E+01  1.7691595E-02  3.1747902E-03  2.5336663E-02  3.5739670E-04  0.0000000E+00
  3.0000000E+01  2.1917848E-02  2.7267047E-03  1.6454304E-02  3.3074260E-04  0.0000000E+00
  3.0000000E+01  2.1788955E-02  1.1795126E-02  8.0896260E-02  1.7791233E-03  0.0000000E+00
  3.0000000E+01  1.7358322E-02  3.6127564E-03  2.4900362E-02  3.5443540E-04  0.0000000E+00
  3.0000000E+01  2.0759278E-02  2.9227227E-03  1.6313844E-02  3.3139482E-04  0.0000000E+00
  3.0000000E+01  2.1656143E-02  1.2731240E-02  8.2334208E-02  1.7911646E-03  0.0000000E+00
  3.0000000E+01  1.7068095E-02  4.0577022E-03  2.4461982E-02  3.5258246E-04  0.0000000E+00
  3.0000000E+01  1.9902520E-02  3.1029857E-03  1.6112764E-02  3.3109895E-04  0.0000000E+00
  3.0000000E+01  2.1607486E-02  1.3674986E-02  8.2961448E-02  1.8115189E-03  0.0000000E+00
  3.0000000E+01  1.6747269E-02  4.4944751E-03  2.4092888E-02  3.5184887E-04  0.0000000E+00
  3.0000000E+01  1.9358950E-02  3.2716453E-03  1.5881699E-02  3.2986994E-04  0.0000000E+00
  3.0000000E+01  2.1468909E-02  1.4668794E-02  8.3097927E-02  1.8361439E-03  0.0000000E+00
  3.0000000E+01  1.6402903E-02  4.9117153E-03  2.3836327E-02  3.5201122E-04  0.0000000E+00
  3.0000000E+01  1.9042342E-02  3.4349924E-03  1.5672064E-02  3.2805402E-04  0.0000000E+00
  3.0000000E+01  2.1148938E-02  1.5736522E-02  8.3082908E-02  1.8614193E-03  0.0000000E+00
  3.0000000E+01  1.6090389E-02  5.3047829E-03  2.3696694E-02  3.5276439E-04  0.0000000E+00
  3.0000000E+01  1.8872120E-02  3.5981416E-03  1.5528474E-02  3.2598598E-04  0.0000000E+00
  3.0000000E+01  2.0684344E-02  1.6876410E-02  8.3160005E-02  1.8854810E-03  0.0000000E+00
  3.0000000E+01  1.5882722E-02  5.6754335E-03  2.3645730E-02  3.5383612E-04  0.0000000E+00
  3.0000000E+01  1.8802151E-02  3.7637188E-03  1.5474038E-02  3.2387151E-04  0.0000000E+00
  3.0000000E+01  2.0214355E-02  1.8069219E-02  8.3394267E-02  1.9087616E-03  0.0000000E+00
  3.0000000E+01  1.5843403E-02  6.0294219E-03  2.3638467E-02  3.5505689E-04  0.0000000E+00
  3.0000000E+01  1.8802603E-02  3.9319017E-03  1.5506275E-02  3.2180993E-04  0.0000000E+00
  3.0000000E+01  1.9912182E-02  1.9292701E-02  8.3645020E-02  1.9336409E-03  0.0000000E+00
  3.0000000E+01  1.6005001E-02  6.3732166E-03  2.3631789E-02  3.5637799E-04  0.0000000E+00
  3.0000000E+01  1.8822355E-02  4.1011598E-03  1.5601465E-02  3.1987262E-04  0.0000000E+00
